date,taxa-mensal,taxa-acc-12-meses
2007-06-01,"0,0090","0,1315"
2007-07-01,"0,0097","0,1293"
2007-08-01,"0,0099","0,1264"
2007-09-01,"0,0080","0,1236"
2007-10-01,"0,0092","0,1217"
2007-11-01,"0,0084","0,1197"
2007-12-01,"0,0084","0,1181"
2008-01-01,"0,0092","0,1164"
2008-02-01,"0,0079","0,1156"
2008-03-01,"0,0084","0,1132"
2008-04-01,"0,0090","0,1128"
2008-05-01,"0,0087","0,1111"
2008-06-01,"0,0095","0,1117"
2008-07-01,"0,0106","0,1127"
2008-08-01,"0,0101","0,1129"
2008-09-01,"0,0110","0,1162"
2008-10-01,"0,0117","0,1190"
2008-11-01,"0,0100","0,1208"
2008-12-01,"0,0111","0,1238"
2009-01-01,"0,0104","0,1251"
2009-02-01,"0,0085","0,1258"
2009-03-01,"0,0097","0,1272"
2009-04-01,"0,0084","0,1265"
2009-05-01,"0,0077","0,1253"
2009-06-01,"0,0075","0,1232"
2009-07-01,"0,0078","0,1200"
2009-08-01,"0,0069","0,1165"
2009-09-01,"0,0069","0,1120"
2009-10-01,"0,0069","0,1067"
2009-11-01,"0,0066","0,1030"
2009-12-01,"0,0072","0,0988"
2010-01-01,"0,0066","0,0946"
2010-02-01,"0,0059","0,0918"
2010-03-01,"0,0076","0,0895"
2010-04-01,"0,0066","0,0876"
2010-05-01,"0,0075","0,0875"
2010-06-01,"0,0079","0,0879"
2010-07-01,"0,0086","0,0887"
2010-08-01,"0,0089","0,0908"
2010-09-01,"0,0084","0,0925"
2010-10-01,"0,0081","0,0937"
2010-11-01,"0,0081","0,0953"
2010-12-01,"0,0093","0,0975"
2011-01-01,"0,0086","0,0997"
2011-02-01,"0,0084","0,1024"
2011-03-01,"0,0092","0,1042"
2011-04-01,"0,0084","0,1061"
2011-05-01,"0,0099","0,1087"
2011-06-01,"0,0095","0,1105"
2011-07-01,"0,0097","0,1117"
2011-08-01,"0,0107","0,1137"
2011-09-01,"0,0094","0,1148"
2011-10-01,"0,0088","0,1156"
2011-11-01,"0,0086","0,1162"
2011-12-01,"0,0090","0,1159"
2012-01-01,"0,0089","0,1162"
2012-02-01,"0,0074","0,1151"
2012-03-01,"0,0081","0,1139"
2012-04-01,"0,0070","0,1123"
2012-05-01,"0,0073","0,1096"
2012-06-01,"0,0064","0,1061"
2012-07-01,"0,0068","0,1029"
2012-08-01,"0,0069","0,0987"
2012-09-01,"0,0054","0,0943"
2012-10-01,"0,0061","0,0914"
2012-11-01,"0,0054","0,0880"
2012-12-01,"0,0053","0,0840"
2013-01-01,"0,0059","0,0808"
2013-02-01,"0,0048","0,0780"
2013-03-01,"0,0054","0,0751"
2013-04-01,"0,0060","0,0740"
2013-05-01,"0,0058","0,0724"
2013-06-01,"0,0059","0,0719"
2013-07-01,"0,0071","0,0723"
2013-08-01,"0,0070","0,0724"
2013-09-01,"0,0070","0,0741"
2013-10-01,"0,0080","0,0762"
2013-11-01,"0,0071","0,0780"
2013-12-01,"0,0078","0,0806"
2014-01-01,"0,0084","0,0834"
2014-02-01,"0,0078","0,0866"
2014-03-01,"0,0076","0,0890"
2014-04-01,"0,0082","0,0913"
2014-05-01,"0,0086","0,0943"
2014-06-01,"0,0082","0,0967"
2014-07-01,"0,0094","0,0993"
2014-08-01,"0,0086","0,1011"
2014-09-01,"0,0090","0,1033"
2014-10-01,"0,0094","0,1048"
2014-11-01,"0,0084","0,1062"
2014-12-01,"0,0096","0,1081"
2015-01-01,"0,0093","0,1091"
2015-02-01,"0,0082","0,1095"
2015-03-01,"0,0104","0,1126"
2015-04-01,"0,0095","0,1140"
2015-05-01,"0,0098","0,1154"
2015-06-01,"0,0107","0,1182"
2015-07-01,"0,0118","0,1208"
2015-08-01,"0,0111","0,1235"
2015-09-01,"0,0111","0,1258"
2015-10-01,"0,0111","0,1277"
2015-11-01,"0,0106","0,1301"
2015-12-01,"0,0116","0,1324"
2016-01-01,"0,0105","0,1338"
2016-02-01,"0,0100","0,1359"
2016-03-01,"0,0116","0,1373"
2016-04-01,"0,0105","0,1385"
2016-05-01,"0,0111","0,1398"
2016-06-01,"0,0116","0,1409"
2016-07-01,"0,0111","0,1401"
2016-08-01,"0,0121","0,1413"
2016-09-01,"0,0111","0,1413"
2016-10-01,"0,0105","0,1406"
2016-11-01,"0,0104","0,1404"
2016-12-01,"0,0112","0,1400"
2017-01-01,"0,0108","0,1403"
2017-02-01,"0,0086","0,1388"
2017-03-01,"0,0105","0,1375"
2017-04-01,"0,0079","0,1345"
2017-05-01,"0,0093","0,1325"
2017-06-01,"0,0081","0,1285"
2017-07-01,"0,0080","0,1250"
2017-08-01,"0,0080","0,1205"
2017-09-01,"0,0064","0,1153"
